[2021-05-09 19:13:26,718 DEBUG] blockchain_client->setup: 	 {'nodes': [{'host': 'localhost', 'port': 30000}, {'host': 'localhost', 'port': 30001}, {'host': 'localhost', 'port': 30002}, {'host': 'localhost', 'port': 30003}, {'host': 'localhost', 'port': 30004}, {'host': 'localhost', 'port': 30005}, {'host': 'localhost', 'port': 30006}, {'host': 'localhost', 'port': 30007}, {'host': 'localhost', 'port': 30008}, {'host': 'localhost', 'port': 30009}], 'clients': [{'host': 'localhost', 'port': 20001}, {'host': 'localhost', 'port': 20002}], 'loss%': 0, 'ckpt_interval': 10, 'retry_times_before_view_change': 2, 'sync_interval': 5, 'misc': {'network_timeout': 1000}}
[2021-05-09 19:13:26,718 INFO] blockchain_client->setup: 	 begin
[2021-05-09 19:13:26,718 DEBUG] selector_events->__init__: 	 Using selector: EpollSelector
[2021-05-09 19:13:27,700 INFO] blockchain_client->send_request: 	 client 0's  message 0 sent.
[2021-05-09 19:13:27,856 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:27,859 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:27,861 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:27,864 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:27,864 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:13:27,866 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:27,867 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:13:27,869 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:27,869 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:13:27,872 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:27,872 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:13:28,179 INFO] blockchain_client->send_request: 	 client 0's  message 0 processed successfully.
[2021-05-09 19:13:28,889 INFO] blockchain_client->send_request: 	 client 0's  message 1 sent.
[2021-05-09 19:13:29,006 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:29,007 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:29,009 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:29,011 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:29,011 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:13:29,013 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:29,013 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:13:29,014 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:29,014 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:13:29,016 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:29,016 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
