[2021-05-09 19:15:50,387 DEBUG] blockchain_client->setup: 	 {'nodes': [{'host': 'localhost', 'port': 30000}, {'host': 'localhost', 'port': 30001}, {'host': 'localhost', 'port': 30002}, {'host': 'localhost', 'port': 30003}, {'host': 'localhost', 'port': 30004}, {'host': 'localhost', 'port': 30005}, {'host': 'localhost', 'port': 30006}, {'host': 'localhost', 'port': 30007}, {'host': 'localhost', 'port': 30008}, {'host': 'localhost', 'port': 30009}, {'host': 'localhost', 'port': 30010}, {'host': 'localhost', 'port': 30011}, {'host': 'localhost', 'port': 30012}], 'clients': [{'host': 'localhost', 'port': 20001}, {'host': 'localhost', 'port': 20002}], 'loss%': 0, 'ckpt_interval': 10, 'retry_times_before_view_change': 2, 'sync_interval': 5, 'misc': {'network_timeout': 1000}}
[2021-05-09 19:15:50,387 INFO] blockchain_client->setup: 	 begin
[2021-05-09 19:15:50,387 DEBUG] selector_events->__init__: 	 Using selector: EpollSelector
[2021-05-09 19:15:50,603 INFO] blockchain_client->send_request: 	 client 0's  message 0 sent.
[2021-05-09 19:15:50,853 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:50,856 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:50,859 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:15:50,861 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:50,863 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:50,863 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:15:50,865 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:50,865 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:15:50,867 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:50,868 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:15:50,870 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:50,870 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:15:50,872 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:50,872 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:15:51,531 INFO] blockchain_client->send_request: 	 client 0's  message 0 processed successfully.
[2021-05-09 19:15:52,299 INFO] blockchain_client->send_request: 	 client 0's  message 1 sent.
[2021-05-09 19:15:52,486 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:52,488 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:52,489 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:15:52,491 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:52,492 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:52,492 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,494 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:52,494 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,496 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:52,496 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,498 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:52,498 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,499 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:52,500 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,502 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:15:52,502 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,504 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:15:52,504 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,506 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:15:52,506 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:52,508 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:15:52,508 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:15:53,137 INFO] blockchain_client->send_request: 	 client 0's  message 1 processed successfully.
[2021-05-09 19:15:53,675 INFO] blockchain_client->send_request: 	 client 0's  message 2 sent.
[2021-05-09 19:15:53,863 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:53,865 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:53,867 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:15:53,870 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:53,872 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:53,872 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,873 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:53,874 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,875 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:53,875 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,877 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:53,877 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,878 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:53,878 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,880 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:15:53,880 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,882 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:15:53,882 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,883 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:15:53,883 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:53,885 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:15:53,885 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:15:54,520 INFO] blockchain_client->send_request: 	 client 0's  message 2 processed successfully.
[2021-05-09 19:15:55,208 INFO] blockchain_client->send_request: 	 client 0's  message 3 sent.
[2021-05-09 19:15:55,393 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:55,395 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:55,396 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:15:55,398 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:55,400 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:55,400 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,402 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:55,402 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,404 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:55,404 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,406 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:55,406 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,408 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:55,408 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,409 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:15:55,409 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,411 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:15:55,411 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,413 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:15:55,413 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:55,414 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:15:55,414 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:15:56,047 INFO] blockchain_client->send_request: 	 client 0's  message 3 processed successfully.
[2021-05-09 19:15:56,382 INFO] blockchain_client->send_request: 	 client 0's  message 4 sent.
[2021-05-09 19:15:56,571 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:56,573 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:56,575 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:15:56,577 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:56,579 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:56,579 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,580 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:56,580 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,582 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:56,582 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,584 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:56,584 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,585 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:56,585 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,587 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:15:56,587 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,589 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:15:56,589 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,590 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:15:56,590 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:56,592 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:15:56,592 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:15:57,222 INFO] blockchain_client->send_request: 	 client 0's  message 4 processed successfully.
[2021-05-09 19:15:58,184 INFO] blockchain_client->send_request: 	 client 0's  message 5 sent.
[2021-05-09 19:15:58,370 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:15:58,372 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:15:58,374 INFO] blockchain_client->get_reply: 	 Get reply from 2
