[2021-05-09 19:11:37,152 DEBUG] blockchain_client->setup: 	 {'nodes': [{'host': 'localhost', 'port': 30000}, {'host': 'localhost', 'port': 30001}, {'host': 'localhost', 'port': 30002}, {'host': 'localhost', 'port': 30003}, {'host': 'localhost', 'port': 30004}, {'host': 'localhost', 'port': 30005}, {'host': 'localhost', 'port': 30006}], 'clients': [{'host': 'localhost', 'port': 20001}, {'host': 'localhost', 'port': 20002}], 'loss%': 0, 'ckpt_interval': 10, 'retry_times_before_view_change': 2, 'sync_interval': 5, 'misc': {'network_timeout': 1000}}
[2021-05-09 19:11:37,152 INFO] blockchain_client->setup: 	 begin
[2021-05-09 19:11:37,153 DEBUG] selector_events->__init__: 	 Using selector: EpollSelector
[2021-05-09 19:11:38,053 INFO] blockchain_client->send_request: 	 client 0's  message 0 sent.
[2021-05-09 19:11:38,129 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:38,132 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:38,134 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:38,134 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:11:38,137 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:38,137 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:11:38,139 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:38,139 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-09 19:11:38,249 INFO] blockchain_client->send_request: 	 client 0's  message 0 processed successfully.
[2021-05-09 19:11:39,089 INFO] blockchain_client->send_request: 	 client 0's  message 1 sent.
[2021-05-09 19:11:39,145 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:39,147 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:39,148 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:39,148 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:11:39,150 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:39,150 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:11:39,152 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:39,152 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:11:39,154 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:39,154 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:11:39,157 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:39,157 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-09 19:11:39,258 INFO] blockchain_client->send_request: 	 client 0's  message 1 processed successfully.
[2021-05-09 19:11:39,875 INFO] blockchain_client->send_request: 	 client 0's  message 2 sent.
[2021-05-09 19:11:39,934 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:39,936 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:39,937 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:39,938 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:11:39,939 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:39,939 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:11:39,941 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:39,941 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:11:39,943 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:39,943 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:11:39,945 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:39,945 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-09 19:11:40,047 INFO] blockchain_client->send_request: 	 client 0's  message 2 processed successfully.
[2021-05-09 19:11:40,831 INFO] blockchain_client->send_request: 	 client 0's  message 3 sent.
[2021-05-09 19:11:40,891 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:40,893 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:40,895 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:40,895 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
