[2021-05-10 00:34:51,935 DEBUG] blockchain_client->setup: 	 {'nodes': [{'host': 'localhost', 'port': 30000}, {'host': 'localhost', 'port': 30001}, {'host': 'localhost', 'port': 30002}, {'host': 'localhost', 'port': 30003}, {'host': 'localhost', 'port': 30004}, {'host': 'localhost', 'port': 30005}, {'host': 'localhost', 'port': 30006}, {'host': 'localhost', 'port': 30007}, {'host': 'localhost', 'port': 30008}, {'host': 'localhost', 'port': 30009}, {'host': 'localhost', 'port': 30010}, {'host': 'localhost', 'port': 30011}, {'host': 'localhost', 'port': 30012}], 'clients': [{'host': 'localhost', 'port': 20001}, {'host': 'localhost', 'port': 20002}], 'loss%': 0, 'ckpt_interval': 10, 'retry_times_before_view_change': 2, 'sync_interval': 5, 'misc': {'network_timeout': 1000}}
[2021-05-10 00:34:51,935 INFO] blockchain_client->setup: 	 begin
[2021-05-10 00:34:51,936 DEBUG] selector_events->__init__: 	 Using selector: EpollSelector
[2021-05-10 00:34:52,422 INFO] blockchain_client->send_request: 	 client 0's  message 0 sent.
[2021-05-10 00:34:52,472 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-10 00:34:52,474 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-10 00:34:52,476 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-10 00:34:52,479 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-10 00:34:52,481 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-10 00:34:52,481 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,483 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-10 00:34:52,483 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,486 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-10 00:34:52,486 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,488 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-10 00:34:52,488 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,491 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-10 00:34:52,491 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,494 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-10 00:34:52,494 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,498 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-10 00:34:52,498 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,501 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-10 00:34:52,501 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,504 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-10 00:34:52,504 INFO] blockchain_client->get_reply: 	 check majority for message [0, 0] passed!
[2021-05-10 00:34:52,505 INFO] blockchain_client->send_request: 	 client 0's  message 0 processed successfully.
[2021-05-10 00:34:52,665 INFO] blockchain_client->send_request: 	 client 0's  message 1 sent.
[2021-05-10 00:34:52,692 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-10 00:34:52,694 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-10 00:34:52,695 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-10 00:34:52,697 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-10 00:34:52,699 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-10 00:34:52,699 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,701 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-10 00:34:52,701 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,702 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-10 00:34:52,702 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,704 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-10 00:34:52,704 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,706 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-10 00:34:52,707 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,709 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-10 00:34:52,709 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,711 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-10 00:34:52,711 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,712 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-10 00:34:52,712 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,714 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-10 00:34:52,714 INFO] blockchain_client->get_reply: 	 check majority for message [0, 1] passed!
[2021-05-10 00:34:52,715 INFO] blockchain_client->send_request: 	 client 0's  message 1 processed successfully.
[2021-05-10 00:34:52,754 INFO] blockchain_client->send_request: 	 client 0's  message 2 sent.
[2021-05-10 00:34:52,777 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-10 00:34:52,779 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-10 00:34:52,780 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-10 00:34:52,782 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-10 00:34:52,783 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-10 00:34:52,783 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,785 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-10 00:34:52,785 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,787 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-10 00:34:52,787 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,789 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-10 00:34:52,789 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,790 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-10 00:34:52,790 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,792 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-10 00:34:52,792 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,794 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-10 00:34:52,794 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,795 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-10 00:34:52,795 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,797 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-10 00:34:52,797 INFO] blockchain_client->get_reply: 	 check majority for message [0, 2] passed!
[2021-05-10 00:34:52,798 INFO] blockchain_client->send_request: 	 client 0's  message 2 processed successfully.
[2021-05-10 00:34:53,744 INFO] blockchain_client->send_request: 	 client 0's  message 3 sent.
[2021-05-10 00:34:53,766 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-10 00:34:53,768 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-10 00:34:53,769 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-10 00:34:53,771 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-10 00:34:53,772 INFO] blockchain_client->get_reply: 	 Get reply from 4
